id,lang,shape,content
South West England,en,s,"South West England, or the South West of England, is one of the nine official regions of England in the United Kingdom.  It consists of the counties of  Cornwall (including the Isles of Scilly), Dorset, Devon, Bristol, Gloucestershire, Somerset and Wiltshire.  Cities and large towns in the region include Bath, Bristol, Bournemouth, Cheltenham, Exeter, Gloucester, Plymouth and Swindon."
UNESCO,en,s,"The United Nations Educational, Scientific and Cultural Organization (UNESCO; pronounced ) is a specialized agency of the United Nations (UN) with the aim of promoting world peace and security through international cooperation in education, arts, sciences and culture.  It has 194 member states and 12 associate members, as well as partners in the non-governmental, intergovernmental and private sector."
City of London,en,s,"The City of London, also known as the City, is a city, ceremonial county and local government district that contains the ancient centre, and constitutes, along with Canary Wharf, the primary central business district (CBD) of London and one of the leading financial centres of the world.  It constituted most of London from its settlement by the Romans in the 1st century AD to the Middle Ages, but the modern area referred to as London has since grown far beyond the City of London boundary."
Wilshire (disambiguation),en,s,Wilshire is an English surname.
Labour Party (UK),en,s,"The Labour Party is a political party in the United Kingdom that sits on the centre-left of the political spectrum.  In a broader sense, the party has been described as an alliance of social democrats, democratic socialists and trade unionists.  It is the governing party of the United Kingdom, having won the 2024 general election, and is currently the largest political party by number of votes cast and number of seats in the House of Commons."
White Tower (Tower of London),en,s,"The White Tower is a former royal residence, the old keep, at the Tower of London in England.  It was built by William the Conqueror during the early 1080s, and subsequently extended.  The White Tower was the castle's strongest point militarily, provided accommodation for the king and his representatives, and housed a chapel.  Henry III ordered the tower whitewashed in 1240.  Today the Tower of London is a museum and visitor attraction.  The White Tower now houses the Royal Armouries collections."
Tate Modern,en,s,"Tate Modern is an art gallery in London, housing the United Kingdom's national collection of international modern and contemporary art (created from or after 1900).  It forms part of the Tate group together with Tate Britain, Tate Liverpool and Tate St Ives.  It is located in the former Bankside Power Station, in the Bankside area of the London Borough of Southwark. Tate Modern is one of the largest museums of modern and contemporary art in the world."
World Heritage Site,en,s,
Borough Market,en,s,"Borough Market is a wholesale and retail market hall in Southwark, London, England.  It is one of the largest and oldest food markets in London, with a market on the site dating back to at least the 12th century.  The present buildings were built in the 1850s, and today the market mainly sells speciality foods to the general public."
Wilshere,en,s,"Jack Andrew Garry Wilshere (born 1 January 1992) is an English football coach and former professional player who played as a midfielder.  He is currently a first team coach for EFL Championship club Norwich City. Wilshere came up through Arsenal's youth academy and made his first-team debut in 2008, becoming Arsenal's youngest league debutant at the age of 16 years, 256 days."
Liberties of the Tower of London,en,s,"The Liberties of the Tower, or the Tower Liberty, was a liberty in the London Borough of Tower Hamlets, Central London, which includes both Tower Hill and the Tower of London.  The area was defined sometime after 1200 to provide an open area around the Tower to ensure its defensibility.  The liberty was an independent administrative unit from then until it was formally abolished on 25 June 1894."
River Thames,en,s,
World Heritage Convention,en,s,"The World Heritage Convention, formally the Convention Concerning the Protection of the World Cultural and Natural Heritage, is an international treaty signed on 23 November 1972, which created the World Heritage Sites, with the primary goals of nature conservation and the preservation and security of cultural properties.  The convention, a signed document of international agreement, guides the work of the World Heritage Committee.  It was developed over a seven-year period (1965–1972)."
constituency,en,s,"An electoral (congressional, legislative, etc. ) district, sometimes called a constituency, riding, or ward, is a subdivision of a larger state (a country, administrative region, or other polity) created to provide its population with representation in the larger state's legislature.  That body, or the state's constitution or a body established for that purpose, determines each district's boundaries and whether each will be represented by a single member or multiple members."
United Kingdom,en,s,"The United Kingdom of Great Britain and Northern Ireland, commonly known as the United Kingdom (UK) or Britain, is a country in Northwestern Europe, off the coast of the continental mainland.  It comprises England, Scotland, Wales, and Northern Ireland.  The UK includes the island of Great Britain, the north-eastern part of the island of Ireland, and most of the smaller islands within the British Isles, making up a total area of 94,354 square miles (244,376 km2)."
City status in the United Kingdom,en,s,"City status in the United Kingdom is granted by the monarch of the United Kingdom to specific centres of population, which might or might not meet the generally accepted definition of cities.  As of 22 November 2022, there are 76 cities in the United Kingdom—55 in England, seven in Wales, eight in Scotland, and six in Northern Ireland.  Although it carries no special rights, the status of city can be a marker of prestige and confer local pride."
Bermondsey,en,s,"Bermondsey ( BUR-mənd-zee) is a district in southeast London, part of the London Borough of Southwark, England, 2. 5 miles (4. 0 km) southeast of Charing Cross.  To the west of Bermondsey lies Southwark, to the east Rotherhithe and Deptford, to the south Walworth and Peckham, and to the north is Wapping across the River Thames.    It lies within the historic county boundaries of Surrey."
Tower of London,en,s,
Globe Theatre,en,s,"The Globe Theatre was a theatre in London associated with William Shakespeare.  It was built in 1599 at Southwark, close to the south bank of the Thames, by Shakespeare's playing company, the Lord Chamberlain's Men.  It was destroyed by fire on 29 June 1613.  A second Globe Theatre was built on the same site by June 1614 and stayed open until the  London theatre closures of 1642.  As well as plays by Shakespeare, early works by Ben Jonson, Thomas Dekker and John Fletcher were first performed here."
Church of England,en,s,"The Church of England (C of E) is the established Christian church in England and the Crown Dependencies.  It is the origin of the Anglican tradition, which combines features of both Reformed and Catholic Christian practices.  Its adherents are called Anglicans. English Christianity traces its history to the Christian hierarchy recorded as existing in the Roman province of Britain by the 3rd century and to the 6th-century Gregorian mission to Kent led by Augustine of Canterbury."
Wiltshire,en,s,"Wiltshire (; abbreviated to Wilts) is a ceremonial county in South West England.  It borders Gloucestershire to the north, Oxfordshire to the north-east, Berkshire to the east, Hampshire to the south-east, Dorset to the south, and Somerset to the west.  The largest settlement is Swindon, and Trowbridge is the county town. The county has an area of 3,485 km2 (1,346 square miles) and a population of 720,060.  The county is mostly rural, and the centre and south-west are sparsely populated."
Liberty (division),en,s,"A liberty was an English unit originating in the Middle Ages, traditionally defined as an area in which regalian right was revoked and where the land was held by a mesne lord (i. e. , an area in which rights reserved to the king had been devolved into private hands).  It later became a unit of local government administration."
county,en,s,"A country is a distinct part of the world, such as a state, nation, or other political entity.  When referring to a specific polity, the term ""country"" may refer to a sovereign state, states with limited recognition, constituent country, or a dependent territory.    Most sovereign states, but not all countries, are members of the United Nations."
Real estate,en,s,
Historic counties of England,en,s,"The historic counties of England are areas that were established for administration by the Normans, in many cases based on earlier kingdoms and shires created by the Angles, Saxons, Jutes, Celts and others.  They are alternatively known as ancient counties, traditional counties, former counties or simply as counties.  In the centuries that followed their establishment, as well as their administrative function, the counties also helped define local culture and identity."
Western Europe,en,s,"Western Europe is the western region of Europe.  The region's extent varies depending on context. The concept of ""the West"" appeared in Europe in juxtaposition to ""the East"" and originally applied to the ancient Mediterranean world, the Roman Empire (both Western and Eastern), and medieval ""Christendom""."
London Borough of Tower Hamlets,en,s,"The London Borough of Tower Hamlets is a borough in London, England.  Situated on the north bank of the River Thames and immediately east of the City of London, the borough spans much of the traditional East End of London and includes much of the regenerated London Docklands area.  The 2019 mid-year population for the borough is estimated at 324,745. Some of the tallest buildings in London occupy Canary Wharf, one of the country's largest financial districts, in the south of the borough."
Proto-Celtic language,en,s,"Proto-Celtic, or Common Celtic, is the hypothetical ancestral proto-language of all known Celtic languages, and a descendant of Proto-Indo-European.  It is not attested in writing but has been partly reconstructed through the comparative method.  Proto-Celtic is generally thought to have been spoken between 1300 and 800 BC, after which it began to split into different languages.  Proto-Celtic is often associated with the Urnfield culture and particularly with the Hallstatt culture."
clockwise,en,s,"Two-dimensional rotation can occur in two possible directions or senses of rotation.  Clockwise motion (abbreviated CW) proceeds in the same direction as a clock's hands relative to the observer: from the top to the right, then down and then to the left, and back up to the top.  The opposite sense of rotation or revolution is (in Commonwealth English) anticlockwise (ACW) or (in North American English) counterclockwise (CCW)."
Charles III,en,s,"Charles V (21 January 1338 – 16 September 1380), called the Wise (French: le Sage; Latin: Sapiens), was King of France from 1364 to his death in 1380.  His reign marked an early high point for France during the Hundred Years' War as his armies recovered much of the territory held by the English and successfully reversed the military losses of his predecessors. Charles became regent of France when his father John II was captured by the English at the Battle of Poitiers in 1356."
Tower Bridge,en,s,"Tower Bridge is a Grade I listed combined bascule, suspension, and, until 1960, cantilever bridge in London, built between 1886 and 1894, designed by Horace Jones and engineered by John Wolfe Barry with the help of Henry Marc Brunel.  It crosses the River Thames close to the Tower of London and is one of five London bridges owned and maintained by the City Bridge Foundation, a charitable trust founded in 1282."
region,en,s,
Marlborough Downs,en,s,"The North Wessex Downs are an area of chalk downland landscapes located in the English counties of Berkshire, Hampshire, Oxfordshire and Wiltshire.  The North Wessex Downs has been designated as a National Landscape (formerly known as Area of Outstanding Natural Beauty or AONB) since 1972."
City of London Corporation,en,s,"The City of London Corporation, officially and legally the Mayor and Commonalty and Citizens of the City of London, is the local authority of the City of London, the historic centre of London and the location of much of the United Kingdom's financial sector. In 2006, the name was changed from Corporation of London as the corporate body needed to be distinguished from the geographical area to avoid confusion with the wider London local government, the Greater London Authority."
CEO,en,s,"Carbon monoxide (chemical formula CO) is a poisonous, flammable gas that is colorless, odorless, tasteless, and slightly less dense than air.  Carbon monoxide consists of one carbon atom and one oxygen atom connected by a triple bond.  It is the simplest carbon oxide.  In coordination complexes, the carbon monoxide ligand is called carbonyl.   It is a key ingredient in many processes in industrial chemistry."
Subsidiary,en,s,"A subsidiary, subsidiary company or daughter company is a company owned or controlled by another company, which is called the parent company or holding company, which has legal and financial control over the company.  Two or more subsidiaries that either belong to the same parent company or having a same management being substantially controlled by same entity/group are called sister companies.  The subsidiary will be required to follow the laws where it is headquartered and incorporated."
Senators for life in Italy,en,s,"Senators for life in Italy (Italian: senatori a vita) are members of the Italian Senate who are either appointed, limited in number up to five, by the Italian president ""for outstanding patriotic merits in the social, scientific, artistic or literary field"" or are former presidents and thus senators for life ex officio."
Tower of London (parish),en,s,"The Chapel Royal of St Peter ad Vincula (""St Peter in chains"") is a Chapel Royal and the former parish church of the Tower of London.  The chapel's name refers to the story of Saint Peter's imprisonment under Herod Agrippa in Jerusalem.  Situated within the Tower's Inner Ward, its current building dates from 1520, although the church was likely established in the 12th century."
Districts of England,en,s,"The districts of England (officially, local authority districts, abbreviated LADs) are a level of subnational division of England used for the purposes of local government.  As the structure of local government in England is not uniform, there are currently four principal types of district-level subdivision."
Anglican Diocese of Southwark,en,s,"The Diocese of Southwark (  SUDH-ərk) is one of the 42 dioceses of the Church of England, part of the worldwide Anglican Communion.  The diocese forms part of the Province of Canterbury in England.   It was created on 1 May 1905 from part of the ancient Diocese of Rochester that was served by a suffragan bishop of Southwark (1891–1905).   Before 1877 most of the area was part of the Diocese of Winchester, some being part of the Diocese of London."
King of the United Kingdom,en,s,"The monarchy of the United Kingdom, commonly referred to as the British monarchy, is the form of government used by the United Kingdom by which a hereditary monarch reigns as the head of state, with their powers regulated by the British Constitution.  The term may also refer to the role of the royal family within the UK's broader political structure.  The monarch since 8 September 2022 is King Charles III, who ascended the throne on the death of Queen Elizabeth II, his mother."
Qatar,en,s,"Parallel ATA (PATA), originally AT Attachment, also known as Integrated Drive Electronics (IDE), is a standard interface designed for IBM PC-compatible computers.  It was first developed by Western Digital and Compaq in 1986 for compatible hard drives and CD or DVD drives.  The connection is used for storage devices such as hard disk drives, floppy disk drives, optical disc drives, and tape drives in computers. The standard is maintained by the X3/INCITS committee."
Gloucestershire County Council,en,s,"Gloucestershire County Council is the upper-tier local authority for the non-metropolitan county of Gloucestershire, in England.  The council was created in 1889.  The council's principal functions are county roads and rights of way, social services, education and libraries, but it also provides many other local government services in the area it covers.  The non-metropolitan county is smaller than the ceremonial county, the latter additionally including South Gloucestershire."
Central London,en,s,"Central London is the innermost part of London, in England, spanning the City of London and several boroughs.  Over time, a number of definitions have been used to define the scope of Central London for statistics, urban planning and local government.   Its characteristics are understood to include a high-density built environment, high land values, an elevated daytime population and a concentration of regionally, nationally and internationally significant organisations and facilities."
South Gloucestershire Council,en,s,"South Gloucestershire Council is the local authority of South Gloucestershire, a local government district in the ceremonial county of Gloucestershire, England, covering an area to the north of the city of Bristol.  The council is a unitary authority, being a district council which also performs the functions of a county council; it is independent from Gloucestershire County Council.  Since 2017 the council has been a member of the West of England Combined Authority."
Old Spitalfields Market,en,s,"Old Spitalfields Market is a covered market in Spitalfields, London.  There has been a market on the site for over 350 years.  In 1991 it gave its name to New Spitalfields Market in Leyton, where fruit and vegetables are now traded.  In 2005, a regeneration programme resulted in the new public spaces: Bishops Square and Crispin Place, which are now part of the modern Spitalfields Market."
London Inner Ring Road,en,s,"The London Inner Ring Road, or Ring Road as signposted, is a 12-mile (19 km) route with an average diameter of 2. 75–5. 5 miles (4. 43–8. 85 km) formed from a number of major roads that encircle Central London.  The ring road forms the boundary of the London congestion charge zone, although the ring road itself is not part of the zone."
real estate,en,s,
Southwark Cathedral,en,s,"Southwark Cathedral (  SUDH-ərk), formally the Cathedral and Collegiate Church of St Saviour and St Mary Overie, is a Church of England cathedral in Southwark, London, near the south bank of the River Thames and close to London Bridge.  It is the mother church of the Diocese of Southwark.  It has been a place of Christian worship for more than 1,000 years, but the church was not raised to cathedral status until the creation of the diocese of Southwark in 1905."
Greater London,en,s,
Quarter session,en,s,"In U. S.  land surveying under the Public Land Survey System (PLSS), a section is an area nominally one square mile (2. 6 square kilometers), containing 640 acres (260 hectares), with 36 sections making up one survey township on a rectangular grid. The legal description of a tract of land under the PLSS includes the name of the state, name of the county, township number, range number, section number, and portion of a section."
Southwark,en,s,"South Park is an American  animated sitcom created by Trey Parker and Matt Stone, and developed by Brian Graden for Comedy Central.  The series revolves around four boys—Stan Marsh, Kyle Broflovski, Eric Cartman, and Kenny McCormick—and their exploits in and around the titular Colorado town.  South Park also features many recurring characters.  The series became infamous for its profanity and dark, surreal humor that satirizes a large range of subject matter."
Counties of England,en,s,
