id,lang,shape,content
Nissan Almera,en,s,"The Nissan Almera is a line of automobiles that has been manufactured by the Japanese car manufacturer Nissan since 1995.  For its early generations, the Almera is a compact car (C-segment), essentially being the European export-market version of the Pulsar for the first-generation model (N15), and the Bluebird Sylphy for the second-generation model (N16).  Since the third-generation model (N17), the Almera nameplate was repositioned to a subcompact or B-segment saloon based on the V platform."
North Jakarta,en,s,"North Jakarta (Indonesian: Jakarta Utara; Betawi: Jakarte Belilir), abbreviated as Jakut, is one of the five administrative cities (kota administrasi) which form Special Capital Region of Jakarta, Indonesia.  North Jakarta is not self-governed and does not have a city council, hence it is not classified as a proper municipality.  It contains the entire coastal area within the Jakarta Special Capital Region."
United States,en,s,"The United States of America (USA), commonly known as the United States (U. S. ) or America, is a country primarily located in North America.  It is a federal union of 50 states and a federal capital district, Washington, D. C.  The 48 contiguous states border Canada to the north and Mexico to the south, with the states of Alaska to the northwest and the archipelagic Hawaii in the Pacific Ocean."
fractional distillation,en,s,
hyperbole,en,s,"Hyperbole ( ; adj.  hyperbolic  ) is the use of exaggeration as a rhetorical device or figure of speech.  In rhetoric, it is also sometimes known as auxesis (literally 'growth').  In poetry and oratory, it emphasizes, evokes strong feelings, and creates strong impressions.  As a figure of speech, it is usually not meant to be taken literally.  Etymology 'Hyperbole' is derived from the Ancient Greek: ὑπερβολή huperbolḗ by way of Latin."
Soyuz TMA,en,s,"The Soyuz-TMA (Russian: транспортный модифицированный антропометрический, romanized: Transportnyi Modifitsirovannyi Antropometricheskii, lit.  'Transport Modified Anthropometric') was a spacecraft built by Energia and used by Roscosmos for human spaceflight.  It is a revision of the Soyuz spacecraft introduced in 2001 and was in use until 2012 after being superseded in 2010 by the Soyuz TMA-M."
hydrogen fuel,en,s,"The hydrogen economy is an umbrella term for the roles hydrogen can play alongside low-carbon electricity to reduce emissions of greenhouse gases.  The aim is to reduce emissions where cheaper and more energy-efficient clean solutions are not available.  In this context, hydrogen economy encompasses the production of hydrogen and the use of hydrogen in ways that contribute to phasing-out fossil fuels and limiting climate change. Hydrogen can be produced by several means."
Internal combustion engine,en,s,"An internal combustion engine (ICE or IC engine) is a heat engine in which the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit.  In an internal combustion engine, the expansion of the high-temperature and high-pressure gases produced by combustion applies direct force to some component of the engine."
Geo Prizm,en,s,"The Geo Prizm and Chevrolet Prizm were compact cars that were rebadged versions of the Toyota Sprinter, a vehicle that the Japanese automaker Toyota never directly sold in the North American market.  The Sprinter itself was derived from the Toyota Corolla.  The Prizm was marketed under the Geo nameplate until it was discontinued after the 1997 model year.  After that, the vehicle was marketed under the Chevrolet nameplate."
pedelec,en,s,"A Pedelec (from pedal electric cycle) or EPAC (electronically power assisted cycle), is a type of low-powered electric bicycle where the rider's pedalling is assisted by a small electric motor.  However, unlike some other types of e-bikes, pedelecs are classified as conventional bicycles in many countries by road authorities rather than as a type of electric moped."
Vehicle,en,s,"A vehicle (from Latin  vehiculum) is a machine designed for self-propulsion, usually to transport people, cargo, or both.  The term ""vehicle"" typically refers to land vehicles such as human-powered vehicles (e. g.  bicycles, tricycles, velomobiles), animal-powered transports (e. g.  horse-drawn carriages/wagons, ox carts, dog sleds), motor vehicles (e. g."
Flying Pigeon,en,s,"Flying Pigeon (simplified Chinese: 飞鸽; traditional Chinese: 飛鴿; pinyin: fēigē) is a Chinese publicly owned bicycle company based in Tianjin.  Since 1950, more than 500 million Flying Pigeon PA-02 bicycles have been made, and as of 2007, more than any other model of vehicle.   History In 1936, a Japanese businessman built the Changho Works factory in Tianjin, and started to make ""Anchor"" bicycles.  The brand name was changed to ""Victory"", and then renamed to ""Zhongzi""."
lubricating oil,en,s,"A lubricant (sometimes shortened to lube) is a substance that helps to reduce friction between surfaces in mutual contact, which ultimately reduces the heat generated when the surfaces move.  It may also have the function of transmitting forces, transporting foreign particles, or heating or cooling the surfaces.  The property of reducing friction is known as lubricity. In addition to industrial applications, lubricants are used for many other purposes."
Bicycle,en,s,"Social cycle theories are among the earliest social theories in sociology.  Unlike the theory of social evolutionism, which views the evolution of society and human history as progressing in some new, unique direction(s), sociological cycle theory argues that events and stages of society and history generally repeat themselves in cycles.  Such a theory does not necessarily imply that there cannot be any social progress."
motorized bicycle,en,s,"A motorized bicycle is a bicycle with an attached motor or engine  and transmission used either to power the vehicle unassisted, or to assist with pedalling.  Since it sometimes retains both pedals and a discrete connected drive for rider-powered propulsion, the motorized bicycle is in technical terms a true bicycle, albeit a power-assisted one."
Atmosphere of Earth,en,s,
Toyota,en,s,"Toyota Motor Corporation (Japanese: トヨタ自動車株式会社, Hepburn: Toyota Jidōsha kabushikigaisha, IPA: [toꜜjota], English: , commonly known as simply Toyota) is a Japanese multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan.  It was founded by Kiichiro Toyoda and incorporated on August 28, 1937.  Toyota is the largest automobile manufacturer in the world, producing about 10 million vehicles per year."
Spanish language in California,en,s,"The Spanish language is the most commonly spoken language in California after the English language, spoken by 28. 18 percent (10,434,308) of the population (in 2021).  Californian Spanish (español californiano) is a set of varieties of Spanish spoken in California, including the historical variety known as Californio Spanish (español californio). Spanish was first introduced to California in 1542 and has since become deeply entwined with California's cultural landscape and history."
Languages of California,en,s,"California is the most populous US state, with an estimated population of 38. 9 million as of 2023.  It has people from a wide variety of ethnic, racial, national, and religious backgrounds.  Population California is the most populated sub-national entity in North America.  If it were an independent country, California would rank 38th in population in the world.  Until recently, it had a larger population than Canada."
Energy transformation,en,s,"Energy transformation, also known as energy conversion, is the process of changing energy from one form to another.  In physics, energy is a quantity that provides the capacity to perform work or moving (e. g.  lifting an object) or provides heat.  In addition to being converted, according to the law of conservation of energy, energy is transferable to a different location or object, but it cannot be created or destroyed."
Daihatsu Consorte,en,s,"The Daihatsu Consorte is a small sedan sold by the Japanese automaker Daihatsu from 1969 to 1977.  It was based on the Toyota Publica, and its name, meaning ""consort"" in Italian, reflected Daihatsu's newly established affiliation with Toyota while also continuing the theme started with the preceding Compagno (""companion"").  It replaced the Compagno as Daihatsu's passenger vehicle."
rhetorical device,en,s,"In rhetoric, a rhetorical device, persuasive device, or stylistic device is a technique that an author or speaker uses to convey to the listener or reader a meaning with the goal of persuading them towards considering a topic from a perspective, using language designed to encourage or provoke an emotional display of a given perspective or action.  They seek to make a position or argument more compelling than it would otherwise be.  Sonic devices Sonic devices depend on sound."
Energies (journal),en,s,"Energies is a biweekly peer-reviewed open-access scientific journal.  It was established in 2008 and is published by MDPI.  The editor-in-chief is Enrico Sciubba (Sapienza University of Rome).  The journal publishes original papers, review articles, technical notes, and letters to the editor.  It concentrates on scientific research, technology, engineering, and management in relation to the field of energy supply, conversion, dispatch, and final usage."
auxesis (rhetoric),en,s,"Auxesis (‹See Tfd›Greek: αὔξησις, aúxēsis) is the Greek word for ""growth"" or ""increase""."
