id,lang,shape,content
States of Germany,en,s,"The Federal Republic of Germany, as a federal state, consists of sixteen states.  Berlin, Hamburg and Bremen (with its seaport exclave, Bremerhaven) are called Stadtstaaten (""city-states""), while the other thirteen states are called Flächenländer (""area states"") and include Bavaria, Saxony, and Thuringia, which describe themselves as Freistaaten (""free states"")."
mineralogist,en,s,"Mineralogy is a subject of geology specializing in the scientific study of the chemistry, crystal structure, and physical (including optical) properties of minerals and mineralized artifacts.  Specific studies within mineralogy include the processes of mineral origin and formation, classification of minerals, their geographical distribution, as well as their utilization."
Philip Miller,en,s,"Philip Miller FRS (1691 – 18 December 1771) was an English botanist and gardener of Scottish descent.   Miller was chief gardener at the Chelsea Physic Garden for nearly 50 years from 1722, and wrote the highly popular The Gardeners Dictionary.  Life Born in Deptford or Greenwich, Miller was chief gardener at the Chelsea Physic Garden from 1722 until he was pressured to retire shortly before his death."
United States,en,s,"The United States of America (USA), commonly known as the United States (U. S. ) or America, is a country primarily located in North America.  It is a federal union of 50 states and a federal capital district, Washington, D. C.  The 48 contiguous states border Canada to the north and Mexico to the south, with the states of Alaska to the northwest and the archipelagic Hawaii in the Pacific Ocean."
Trademark,en,s,"A trademark (also written trade mark or trade-mark) is a form of intellectual property that consists of a word, phrase, symbol, design, or a combination that identifies a product or service from a particular source and distinguishes it from others.  Trademarks can also extend to non-tradditional marks like drawings, symbols, 3D shapes like product designs or packaging, sounds, scents, or specific colors used to create a unique identity."
husk,en,s,"Husky is a general term for a dog used in the polar regions, primarily and specifically for work as sled dogs.  It refers to a traditional northern type, notable for its cold-weather tolerance and overall hardiness.  Modern racing huskies that maintain arctic breed traits (also known as Alaskan huskies) represent an ever-changing crossbreed of the fastest dogs."
Malus (Phrygia),en,s,"Malus or Malos (Ancient Greek: Μάλος) was a town of ancient Phrygia, inhabited during Roman and Byzantine times.  Its site is located near Gökçeyayla, in Asiatic Turkey."
Lady Williams (apple),en,s,"Lady Williams is a cultivar of apple; the fruits are eaten fresh and mature very late in the season.  The original tree was a chance seedling, thought to be from Granny Smith, with pollen from either Jonathan or Rokewood.  Maud and Arthur Williams owned the farm in Donnybrook, Western Australia, on which the tree that this chance seedling sprung from.  Maud was instrumental in recognizing the potential of this new apple and it is named after her."
Cripps Pink,en,s,
Nymphaeaceae,en,s,"Nymphaeaceae () is a family of flowering plants, commonly called water lilies.  They live as rhizomatous aquatic herbs in temperate and tropical climates around the world.  The family contains five genera with about 70 known species.  Water lilies are rooted in soil in bodies of water, with leaves and flowers floating on or rising from the surface.  Leaves are oval and heart-shaped in Barclaya.  Leaves are round, with a radial notch in Nymphaea and Nuphar, but fully circular in Victoria and Euryale."
flowering plant,en,s,"Flowering plants are plants that bear flowers and fruits, and form the clade Angiospermae ().  The term 'angiosperm' is derived from the Greek words ἀγγεῖον / angeion ('container, vessel') and σπέρμα / sperma ('seed'), meaning that the seeds are enclosed within a fruit.  The group was formerly called Magnoliophyta. Angiosperms are by far the most diverse group of land plants with 64 orders, 416 families, approximately 13,000 known genera and 300,000 known species."
Hybrid (biology),en,s,"In biology, a hybrid is the offspring resulting from combining the qualities of two organisms of different varieties, subspecies, species or genera through sexual reproduction.  Generally, it means that each cell has genetic material from two different organisms, whereas an individual where some cells are derived from a different organism is called a chimera."
Heiliggeistkirche,en,s,"The Church of the Holy Spirit (German: Heiliggeistkirche) is the largest church in Heidelberg, Germany.  The church, located in the marketplace in the old town center, was constructed between 1398 and 1515 in the Romanesque and Gothic styles.  It receives 1–3 million guests annually, making it among the most visited churches in Germany. The church was planned as the burial place of the Electors of the Palatinate and as a representative church of the Palatinate royal seat."
