id,lang,shape,content
Gabriel Bibron,en,s,"Gabriel Bibron (20 October 1805 – 27 March 1848) was a French zoologist and herpetologist.  He was born in Paris.  The son of an employee of the Museum national d'histoire naturelle, he had a good foundation in natural history and was hired to collect vertebrates in Italy and Sicily.  Under the direction of Jean Baptiste Bory de Saint-Vincent (1778–1846), he took part in the Morea expedition to Peloponnese."
Global Boundary Stratotype Section and Point,en,s,"A Global Boundary Stratotype Section and Point (GSSP), sometimes referred to as a golden spike, is an internationally agreed upon reference point on a stratigraphic section which defines the lower boundary of a stage on the geologic time scale.   The effort to define GSSPs is conducted by the International Commission on Stratigraphy, a part of the International Union of Geological Sciences.   Most, but not all, GSSPs are based on paleontological changes."
vertebra,en,s,"Each vertebra (pl. : vertebrae) is an irregular bone with a complex structure composed of bone and some hyaline cartilage, that make up the vertebral column or spine, of vertebrates.  The proportions of the vertebrae differ according to their spinal segment and the particular species. The basic configuration of a vertebra varies; the bone is the body, and the central part of the body is the centrum.  The upper and lower surfaces of the vertebra body give attachment to the intervertebral discs."
States of Germany,en,s,"The Federal Republic of Germany, as a federal state, consists of sixteen states.  Berlin, Hamburg and Bremen (with its seaport exclave, Bremerhaven) are called Stadtstaaten (""city-states""), while the other thirteen states are called Flächenländer (""area states"") and include Bavaria, Saxony, and Thuringia, which describe themselves as Freistaaten (""free states"")."
geologic time scale,en,s,The geologic time scale or geological time scale (GTS) is a representation of time based on the rock record of Earth.  It is a system of chronological dating that uses chronostratigraphy (the process of relating strata to time) and geochronology (a scientific branch of geology that aims to determine the age of rocks).
Johann Friedrich Gmelin,en,s,"Johann Friedrich Gmelin (8 August 1748 – 1 November 1804) was a German naturalist, chemist, botanist, entomologist, herpetologist, and malacologist.  Education Johann Friedrich Gmelin was born as the eldest son of Philipp Friedrich Gmelin in 1748 in Tübingen."
Landtag of Baden-Württemberg,en,s,"The Landtag of Baden-Württemberg is the diet of the German state of Baden-Württemberg.  It convenes in Stuttgart and currently consists of 154 members of five political parties.  The majority before the 2021 election was a coalition of the Alliance 90/The Greens and the Christian Democratic Union (CDU), supporting the cabinet of Green Minister-President Winfried Kretschmann."
King's College London,en,s,"King's College London (informally King's or KCL) is a public research university located in London, England.  King's was established by royal charter in 1829 under the patronage of King George IV and the Duke of Wellington.  In 1836, King's became one of the two founding colleges of the University of London.  It is one of the oldest university-level institutions in England."
Cryptodira,en,s,"The Cryptodira (Greek: hidden neck) are a suborder of Testudines that includes most living tortoises and turtles.  Cryptodira is commonly called the ""Hidden-Neck Turtles"" or the ""Inside-Neck Turtles"".  Cryptodira differ from Pleurodira (side-necked turtles) in that they lower their necks and pull the heads straight back into the shells, instead of folding their necks sideways along the body under the shells' marginals."
neck,en,s,"Nick is a masculine given name.  It is  also often encountered as a short form (hypocorism) of the given names Nicholas, Nicola,  Nicolas, Nikola, Nicolai or Nicodemus."
Amiens,en,s,
International Commission on Stratigraphy,en,s,"The International Commission on Stratigraphy (ICS), sometimes unofficially referred to as the ""International Stratigraphic Commission"", is a daughter or major subcommittee grade scientific daughter organization that concerns itself with stratigraphical, geological, and geochronological matters on a global scale.  It is the largest subordinate body of the International Union of Geological Sciences (IUGS)."
Species Plantarum,en,s,"Species Plantarum (Latin for ""The Species of Plants"") is a book by Carl Linnaeus, originally published in 1753, which lists every species of plant known at the time, classified into genera.  It is the first work to consistently apply binomial names and was the starting point for the naming of plants.  Publication Species Plantarum was published on 1 May 1753 by Laurentius Salvius in Stockholm, in two volumes."
Electorate of Brunswick-Lüneburg,en,s,"The Electorate of Hanover (German: Kurfürstentum Hannover or simply Kurhannover) was an electorate of the Holy Roman Empire located in northwestern Germany that arose from the Principality of Calenberg.  Although formally known as the Electorate of Brunswick-Lüneburg (German: Kurfürstentum Braunschweig-Lüneburg), it made Hanover its capital city.  For most of its existence, the electorate was ruled in personal union with Great Britain and Ireland following the Hanoverian Succession."
lithostratigraphy,en,s,"Lithostratigraphy is a sub-discipline of stratigraphy, the geological science associated with the study of strata or rock layers.  Major focuses include geochronology, comparative geology, and petrology. In general, strata are primarily igneous or sedimentary relating to how the rock was formed.  Sedimentary layers are laid down by deposition of sediment associated with weathering processes, decaying organic matter (biogenic) or through chemical precipitation."
Paleontology,en,s,"Paleontology ( PAY-lee-on-TOL-ə-jee, PAL-ee-, -⁠ən-), also spelled palaeontology or palæontology, is the scientific study of life that existed prior to the start of the Holocene epoch (roughly 11,700 years before present).  It includes the study of fossils to classify organisms and study their interactions with each other and their environments (their paleoecology).  Paleontological observations have been documented as far back as the 5th century BC."
Gregorian calendar,en,s,"The Gregorian calendar is the calendar used in most parts of the world.  It went into effect in October 1582 following the papal bull Inter gravissimas issued by Pope Gregory XIII, which introduced it as a modification of, and replacement for, the Julian calendar.  The principal change was to space leap years differently so as to make the average calendar year 365. 2425 days long, more closely approximating the 365."
fossil,en,s,"A fossil (from Classical Latin fossilis, lit.  'obtained by digging') is any preserved remains, impression, or trace of any once-living thing from a past geological age.  Examples include bones, shells, exoskeletons, stone imprints of animals or microbes, objects preserved in amber, hair, petrified wood and DNA remnants.  The totality of fossils is known as the fossil record."
Råshult,en,s,"Råshult is a village just north of Älmhult in Kronoberg County, Småland, Sweden.  It is notable as the birthplace of the seminal biologist and ""father of modern taxonomy"", Carl Linnaeus (1707–1778)."
Batsch,en,s,"The term punch refers to a wide assortment of drinks, both non-alcoholic and alcoholic, generally containing fruits or fruit juice.  The drink was introduced from the Indian subcontinent to England by employees of the East India Company in the late 17th century.  Punch is usually served at parties in large, wide bowls, known as punch bowls. In the United States, federal regulations provide the word ""punch"" to describe commercial beverage products that do not contain fruit or fruit juice."
International Union of Geological Sciences,en,s,"The International Union of Geological Sciences (IUGS) is an international non-governmental organization devoted to international cooperation in the field of geology.  As of 2023, it represents more than 1 million geoscientists around the world.  About The IUGS was founded in 1961 to ensure continued collaboration between the International Geological Congresses, which have taken place every four years since 1875."
Edward Drinker Cope,en,s,"Edward Drinker Cope (July 28, 1840 – April 12, 1897) was an American zoologist, paleontologist, comparative anatomist, herpetologist, and ichthyologist.  Born to a wealthy Quaker family, he distinguished himself as a child prodigy interested in science, publishing his first scientific paper at the age of 19.  Though his father tried to raise Cope as a gentleman farmer, he eventually acquiesced to his son's scientific aspirations."
