id,lang,shape,content
mathematics,en,s,"Mathematics is a field of study that discovers and organizes methods, theories and theorems that are developed and proved for the needs of empirical sciences and mathematics itself.  There are many areas of mathematics, which include number theory (the study of numbers), algebra (the study of formulas and related structures), geometry (the study of shapes and spaces that contain them), analysis (the study of continuous changes), and set theory (presently used as a foundation for all mathematics)."
Rotation period (astronomy),en,s,"In astronomy, the rotation period or spin period of a celestial object (e. g. , star, planet, moon, asteroid) has two definitions.  The first one corresponds to the sidereal rotation period (or sidereal day), i. e. , the time that the object takes to complete a full rotation around its axis relative to the background stars (inertial space)."
Cauchy sequence,en,s,"In mathematics, a Cauchy sequence is a sequence whose elements become arbitrarily close to each other as the sequence progresses.  More precisely, given any small positive distance, all excluding a finite number of elements of the sequence are less than that given distance from each other.  Cauchy sequences are named after Augustin-Louis Cauchy; they may occasionally be known as fundamental sequences. It is not sufficient for each term to become arbitrarily close to the preceding term."
42nd Street (Manhattan),en,s,"42nd Street is a major crosstown street in the New York City borough of Manhattan, spanning the entire breadth of Midtown Manhattan, from  Turtle Bay at the East River, to Hell's Kitchen at the Hudson River on the West Side.  The street has several major landmarks, including (from east to west) the headquarters of the United Nations, the Chrysler Building, Grand Central Terminal, the New York Public Library Main Branch, Times Square, and the Port Authority Bus Terminal."
Moon,en,s,"Soon is a rock opera with music by Joseph M.  Kookoolis and Scott Fagan, lyrics by Fagan, and a book by Martin Duberman and Robert Greenwald.  It is based on a story by Fagan and Kookoolis. The story is about a group of young musicians who achieve success in New York City, but pay the price.  It was an attack on the record industry, which apparently caused Fagan and Kookoolis to be blacklisted."
natural selection,en,s,
past,en,s,
invention,en,s,"An invention is a unique or novel device, method, composition, idea or process.  An invention may be an improvement upon a machine, product, or process for increasing efficiency or lowering cost.  It may also be  an entirely new concept.  If an idea is unique enough either as a stand-alone invention or as a significant improvement over the work of others, it can be patented."
thermodynamic processes,en,s,"Classical thermodynamics considers three main kinds of thermodynamic processes: (1) changes in a system, (2) cycles in a system,  and (3) flow processes. (1) A Thermodynamic process is a process in which the thermodynamic state of a system is changed.  A change in a system is defined by a passage from an initial to a final state of thermodynamic equilibrium.  In classical thermodynamics, the actual course of the process is not the primary concern, and often is ignored."
essence,en,s,"Essence (Latin: essentia) has various meanings and uses for different thinkers and in different contexts.  It is used in philosophy and theology as a designation for the property or set of properties or attributes that make an entity the entity it is or, expressed negatively, without which it would lose its identity.  Essence is contrasted with accident, which is a property or attribute the entity has accidentally or contingently, but upon which its identity does not depend."
orbit,en,s,
speed of light,en,s,"The speed of light in vacuum, commonly denoted c, is a universal physical constant that is exactly equal to 299,792,458 metres per second (approximately 300,000 kilometres per second; 186,000 miles per second; 671 million miles per hour).  According to the special theory of relativity, c is the upper limit for the speed at which conventional matter or energy (and thus any signal carrying information) can travel through space."
reality,en,s,
event (philosophy),en,s,"In philosophy, events are objects in time or instantiations of properties in objects.  On some views, only changes in the form of acquiring or losing a property can constitute events, like the lawn's becoming dry.  According to others, there are also events that involve nothing but the retaining of a property, e. g.  the lawn's staying wet.  Events are usually defined as particulars that, unlike universals, cannot repeat at different times."
future,en,s,"Culture ( KUL-chər) is a concept that encompasses the social behavior, institutions, and norms found in human societies, as well as the knowledge, beliefs, arts, laws, customs, capabilities, attitude, and habits of the individuals in these groups.  Culture is often originated from or attributed to a specific region or location. Humans acquire culture through the learning processes of enculturation and socialization, which is shown by the diversity of cultures across societies."
priority date,en,s,"Priority date is a United States immigration concept – it is the date when a principal applicant first reveals his or her intent of immigration to the US government.  For family-sponsored applicants, the priority date is the date an immigration petition, filed on behalf of him or her, is received by the United States Citizenship and Immigration Services (USCIS)."
List of Manhattan neighborhoods,en,s,This is a list of neighborhoods in the New York City borough of Manhattan arranged geographically from the north of the island to the south. The following approximate definitions are used:Upper Manhattan is the area above 96th Street. Midtown Manhattan is the area between 34th Street and 59th Street. Lower Manhattan is the area below 14th Street. West Side is the area west of Fifth Avenue; East Side is the area east of Fifth Avenue. Neighborhood names and boundaries are not officially defined.
novelty (patent),en,s,"Novelty is one of the patentability requirement for a patent claim, whose purpose is to prevent issuing patents on known things, i. e.  to prevent public knowledge from being taken away from the public domain. An invention is anticipated (i. e.  not new) and therefore not patentable if it was known to the public before the priority date of the patent application.  Although the concept of ""novelty"" in patent law appears simple and self-explanatory, this view is very far from reality."
order theory,en,s,"Order theory is a branch of mathematics that investigates the intuitive notion of order using binary relations.  It provides a formal framework for describing statements such as ""this is less than that"" or ""this precedes that"".  This article introduces the field and provides basic definitions.  A list of order-theoretic terms can be found in the order theory glossary.  Background and motivation Orders are everywhere in mathematics and related fields like computer science."
Set (mathematics),en,s,"In mathematics, a set is a collection of different things; these things are called elements or members of the set and are typically mathematical objects of any kind: numbers, symbols, points in space, lines, other geometrical shapes, variables, or even other sets.   A set may have a finite number of elements or be an infinite set.  There is a unique set with no elements, called the empty set; a set with a single element is a singleton."
Sun,en,s,"A son is a male offspring; a boy or a man in relation to his parents.  The female counterpart is a daughter.   From a biological perspective, a son constitutes a first degree relative.  Social issues In pre-industrial societies and some current countries with agriculture-based economies, a higher value was, and still is, assigned to sons rather than daughters, giving males higher social status, because males were physically stronger, and could perform farming tasks more effectively."
Universals (metaphysics),en,s,"In metaphysics, a universal is what particular things have in common, namely characteristics or qualities.  In other words, universals are repeatable or recurrent entities that can be instantiated or exemplified by many particular things.  For example, suppose there are two chairs in a room, each of which is green.  These two chairs share the quality of ""chairness"", as well as ""greenness"" or the quality of being green; in other words, they share two ""universals""."
Power (physics),en,s,"Power is the amount of energy transferred or converted per unit time.  In the International System of Units, the unit of power is the watt, equal to one joule per second.  Power is a scalar quantity. Specifying power in particular systems may require attention to other quantities; for example, the power involved in moving a ground vehicle is the product of the aerodynamic drag plus traction force on the wheels, and the velocity of the vehicle."
phase transition,en,s,"In physics, chemistry, and other related fields like biology, a phase transition (or phase change) is the physical process of transition between one state of a medium and another.  Commonly the term is used to refer to changes among the basic states of matter: solid, liquid, and gas, and in rare cases, plasma.  A phase of a thermodynamic system and the states of matter have uniform physical properties."
Astronomical Almanac,en,s,"The Astronomical Almanac is an almanac published by the United Kingdom Hydrographic Office; it also includes data supplied by many scientists from around the world.  On page vii, the listed major contributors to its various Sections are: H."
Reversible process (thermodynamics),en,s,"In thermodynamics, a reversible process is a process, involving a system and its surroundings, whose direction can be reversed by infinitesimal changes in some properties of the surroundings, such as pressure or temperature. Throughout an entire reversible process, the system is in thermodynamic equilibrium, both physical and chemical, and nearly in pressure and temperature equilibrium with its surroundings."
present,en,s,"Presence (Russian: Присутствие, romanized: Prisutstvie) is a 1992 Russian drama film directed by Andrey Dobrovolskiy.  Plot The film tells about a lonely man who has only memories of his beloved woman, which cannot be returned."
Latin,en,s,
HM Nautical Almanac Office,en,s,"His Majesty's Nautical Almanac Office (HMNAO), now part of the United Kingdom Hydrographic Office, was established in 1832 on the site of the Royal Observatory, Greenwich (ROG), where The Nautical Almanac had been published since 1767.  HMNAO produces astronomical data for a wide range of users, such as astronomers, mariners, aviators, surveyors, the military, Police, lawyers, religious groups, architects, schools, diary and calendar manufacturers, photographers and film crews."
thermodynamics,en,s,"Thermodynamics deals with heat, work, and temperature, and their relation to energy, entropy, and the physical properties of matter and radiation.  The behavior of these quantities is governed by the four laws of thermodynamics, which convey a quantitative description using measurable macroscopic physical quantities, but may be explained in terms of microscopic constituents by statistical mechanics.  Thermodynamics plays a role in a wide variety of topics in science and engineering."
Praeneste fibula,en,s,"The Praeneste fibula (the ""brooch of Palestrina"") is a golden fibula or brooch, today housed in the Pigorini National Museum of Prehistory and Ethnography in Rome.   The fibula bears an inscription in Old Latin, claiming craftsmanship by one Manios and ownership by one Numazios.   At the time of its discovery in the late nineteenth century, it was accepted as the earliest known specimen of the Latin language."
full moon,en,s,The full moon is the lunar phase when the Moon appears fully illuminated from Earth's perspective.  This occurs when Earth is located between the Sun and the Moon (when the ecliptic longitudes of the Sun and Moon differ by 180°).  This means that the lunar hemisphere facing Earth—the near side—is completely sunlit and appears as an approximately circular disk.  The full moon occurs roughly once a month.
list of online dictionaries,en,s,"An online dictionary is a dictionary that is accessible via the Internet through a web browser.  They can be made available in a number of ways: free, free with a paid subscription for extended or more professional content, or a paid-only service.  Many dictionaries have been digitized from their print versions and are available at online libraries."
lunation,en,s,
United States Naval Observatory,en,s,"The United States Naval Observatory (USNO) is a scientific and military facility that produces geopositioning, navigation and timekeeping data for the United States Navy and the United States Department of Defense.  Established in 1830 as the Depot of Charts and Instruments, it is one of the oldest scientific agencies in the United States, and remains the country's leading facility for astronomical and timing data. The observatory is located in Northwest Washington, D. C."
reference work,en,s,"A reference work is a  work, such as a paper, book or periodical (or their electronic equivalents), to which one can refer for information.  The information is intended to be found quickly when needed.  Such works are usually referred to for particular pieces of information, rather than read beginning to end.  The writing style used in these works is informative; the authors avoid opinions and the use of the first person, and emphasize facts."
particulars,en,s,"In metaphysics, particulars or individuals are usually contrasted with universals.  Universals concern features that can be exemplified by various different particulars.  Particulars are often seen as concrete, spatiotemporal entities as opposed to abstract entities, such as properties or numbers.  There are, however, theories of abstract particulars or tropes.  For example, Socrates is a particular (there's only one Socrates-the-teacher-of-Plato and one cannot make copies of him, e. g."
patentability,en,s,"Within the context of a national or multilateral body of law, an invention is patentable if it meets the relevant legal conditions to be granted a patent.  By extension, patentability also refers to the substantive conditions that must be met for a patent to be held valid.  Requirements The patent laws usually require that, for an invention to be patentable, it must be:Patentable subject matter, i. e."
Helios,en,s,
waxing crescent,en,s,"A lunar phase or Moon phase is the apparent shape of the Moon's directly sunlit portion as viewed from the Earth (because the Moon is tidally locked with the Earth, the same hemisphere is always facing the Earth).  In common usage, the four major phases are the new moon, the first quarter, the full moon and the last quarter; the four minor phases are waxing crescent, waxing gibbous, waning gibbous, and waning crescent."
solar filter,en,s,"An astronomical filter is a telescope accessory consisting of an optical filter used by amateur astronomers to simply improve the details and contrast of celestial objects, either for viewing or for photography.  Research astronomers, on the other hand, use various band-pass filters for photometry on telescopes, in order to obtain measurements which reveal objects' astrophysical properties, such as stellar classification and placement of a celestial body on its Wien curve."
Earth's rotation,en,s,"Earth's rotation or Earth's spin is the rotation of planet Earth around its own axis, as well as changes in the orientation of the rotation axis in space.  Earth rotates eastward, in prograde motion.  As viewed from the northern polar star Polaris, Earth turns counterclockwise. The North Pole, also known as the Geographic North Pole or Terrestrial North Pole, is the point in the Northern Hemisphere where Earth's axis of rotation meets its surface."
time,en,s,"The is a grammatical article in English, denoting persons or things that are already or about to be mentioned, under discussion, implied or otherwise presumed familiar to listeners, readers, or speakers.  It is the definite article in English.  The is the most frequently used word in the English language; studies and analyses of texts have found it to account for seven percent of all printed English-language words."
existence,en,s,"Existence is the state of having being or reality in contrast to nonexistence and nonbeing.  Existence is often contrasted with essence: the essence of an entity is its essential features or qualities, which can be understood even if one does not know whether the entity exists. Ontology is the philosophical discipline studying the nature and types of existence.  Singular existence is the existence of individual entities while general existence refers to the existence of concepts or universals."
east,en,s,"West is one of the four cardinal directions or points of the compass.  It is the opposite direction from east and is the direction in which the Sun sets on the Earth.  Etymology The word ""west"" is a Germanic word passed into some Romance languages (ouest in French, oest in Catalan, ovest in Italian, oeste in Spanish and Portuguese)."
astronomy,en,s,"Astronomy is a natural science that studies celestial objects and the phenomena that occur in the cosmos.  It uses mathematics, physics, and chemistry in order to explain their origin and their overall evolution.  Objects of interest include planets, moons, stars, nebulae, galaxies, meteoroids, asteroids, and comets.  Relevant phenomena include supernova explosions, gamma ray bursts, quasars, blazars, pulsars, and cosmic microwave background radiation."
Property (philosophy),en,s,"In logic and philosophy (especially metaphysics), a property is a characteristic of an object; a red object is said to have the property of redness.  The property may be considered a form of object in its own right, able to possess other properties.  A property, however, differs from individual objects in that it may be instantiated, and often in more than one object."
Rotation around a fixed axis,en,s,"Rotation around a fixed axis or axial rotation is a special case of rotational motion around an axis of rotation fixed, stationary, or static in three-dimensional space.  This type of motion excludes the possibility of the instantaneous axis of rotation changing its orientation and cannot describe such phenomena as wobbling or precession."
libration,en,s,"Liberation (Russian: Освобождение, translit.  Osvobozhdenie, German: Befreiung, Polish: Wyzwolenie) is a film series released in 1970 and 1971, directed by Yuri Ozerov and shot in wide-format NIKFI process (70 mm).  The script was written by Yuri Bondarev and Oscar Kurganov.  The series was a Soviet-Polish-East German-Italian-Yugoslav co-production."
mathematical object,en,s,"A mathematical object is an abstract concept arising in mathematics.  Typically, a mathematical object can be a value that can be assigned to a symbol, and therefore can be involved in formulas.  Commonly encountered mathematical objects include numbers, expressions, shapes, functions, and sets.  Mathematical objects can be very complex; for example, theorems, proofs, and even theories are considered as mathematical objects in proof theory."
Syzygy (astronomy),en,s,"In astronomy, a syzygy ( SIZ-ə-jee; from Ancient Greek  συζυγία (suzugía) 'union, yoking', expressing the sense of σύν (syn- ""together"") and ζυγ- (zug- ""a yoke""))is a roughly straight-line configuration of three or more celestial bodies in a gravitational system. The word is often used in reference to the Sun, Earth, and either the Moon or a planet, where the latter is in conjunction or opposition.  Solar and lunar eclipses occur at times of syzygy, as do transits and occultations."
clock,en,s,"A lock is a mechanical or electronic fastening device that is released by a physical object (such as a key, keycard, fingerprint, RFID card, security token or coin), by supplying secret information (such as a number or letter permutation or password), by a combination thereof, or it may only be able to be opened from one side, such as a door chain. A key is a device that is used to operate a lock (to lock or unlock it)."
rotation period,en,s,"In astronomy, the rotation period or spin period of a celestial object (e. g. , star, planet, moon, asteroid) has two definitions.  The first one corresponds to the sidereal rotation period (or sidereal day), i. e. , the time that the object takes to complete a full rotation around its axis relative to the background stars (inertial space)."
Latium,en,s,
Jacqui Safra,en,s,"Jacqui (Jacob) Eli Safra (born 1947) is a Swiss investor from Geneva.  He is a descendant of the Syrian Jewish Safra banking family.  Biography Jacqui Eli Safra is the son of Elie Safra (1922–1993) and Yvette Dabbah (1927–2006) and the nephew of Edmond Safra.  He is a graduate of the Wharton School of the University of Pennsylvania and worked in various positions at the Republic National Bank of New York. Some of Safra's investments include Encyclopædia Britannica, Inc."
sequence,en,s,"In mathematics, a sequence is an enumerated collection of objects in which repetitions are allowed and order matters.  Like a set, it contains members (also called elements, or terms).  The number of elements (possibly infinite) is called the length of the sequence.  Unlike a set, the same elements can appear multiple times at different positions in a sequence, and unlike a set, the order does matter."
month,en,s,"A month is a unit of time, used with calendars, that is approximately as long as a natural phase cycle of the Moon; the words month and Moon are cognates.  The traditional concept of months arose with the cycle of Moon phases; such lunar months (""lunations"") are synodic months and last approximately 29. 53 days, making for roughly  12. 37 such months in one Earth year."
engine,en,s,"Engineers, as practitioners of engineering, are professionals who invent, design, analyze, build and test machines, complex systems, structures, gadgets and materials to fulfill functional objectives and requirements while considering the limitations imposed by practicality, regulation, safety and cost.  The word engineer (Latin ingeniator, the origin of the Ir."
Sól (Germanic mythology),en,s,"Sól (Old Norse: [ˈsoːl], ""Sun"") or Sunna (Old High German, and existing as an Old Norse and Icelandic synonym: see Wiktionary sunna, ""Sun"") is the Sun personified in Germanic mythology.  One of the two Old High German Merseburg Incantations, written in the 9th or 10th century CE, attests that Sunna is the sister of Sinthgunt."
Artificial Intelligence,en,s,"Artificial intelligence (AI), in its broadest sense, is intelligence exhibited by machines, particularly computer systems.  It is a field of research in computer science that develops and studies methods and software that enable machines to perceive their environment and use learning and intelligence to take actions that maximize their chances of achieving defined goals.  Such machines may be called AIs. Some high-profile applications of AI include advanced web search engines (e. g."
patent claim,en,s,"In a patent or patent application, the claims define in technical terms the extent, i. e.  the scope, of the protection conferred by a patent, or the protection sought in a patent application.  In other words, the purpose of the claims is to define which subject-matter is protected by the patent (or sought to be protected by the patent application).  This is termed as the ""notice function"" of a patent claim—to warn others of what they must not do if they are to avoid infringement liability."
force,en,s,
Motion,en,s,"A morion (Spanish: morrión) (Catalan: morrió) is a type of open-faced combat helmet originally from Spain, used from the beginning of the 16th century to the early-17th century.  The morion usually had a flat brim and a crest running from front to back.  Its introduction was contemporaneous with European exploration of much of North, Central and South America - explorers such as Hernando de Soto and Coronado may have supplied morions to their foot-soldiers in the 1540s."
